neutron_id,status,reached_detector,detector_hit_x_m,detector_hit_y_m,detector_hit_z_m,velocity_magnitude_m_s,velocity_x_m_s,velocity_y_m_s,velocity_z_m_s,direction_x,direction_y,direction_z,final_energy_MeV,initial_energy_MeV,energy_after_shell_MeV,energy_after_channel_MeV,total_flight_time_s,total_flight_time_ns,final_position_x_m,final_position_y_m,final_position_z_m,exit_position_x_m,exit_position_y_m,exit_position_z_m
21,lost_in_channel,False,,,,2551819.8262570933,1485598.3936724432,-1866354.803299505,-906367.2470900004,0.582172133936062,-0.731381888366703,-0.3551846559713518,0.03403734196393706,2.3193290086309597,2.3193290086309597,2.3193290086309597,6.622507017182098e-08,66.22507017182097,0.015252476144908168,-0.18217112230162213,1.35564925472527,0.014071124850823402,-0.16198443848625596,1.2486246988440741
22,lost_in_channel,False,,,,3827410.9046883723,1221294.5568224248,-3482215.520545598,1015720.8805940413,0.31909157057749005,-0.9098096878702183,0.2653806727022275,0.07657126166041514,2.375900471000927,2.375900471000927,2.375900471000927,1.940909914896534e-08,19.40909914896534,-0.032549228637414274,0.01271292254875946,0.40368698034416745,-0.02353052790368005,0.013784563994491725,0.3
23,lost_in_channel,False,,,,3115305.466072068,2347281.029834208,-982170.5645672106,-1797426.1865280292,0.7534673743547134,-0.315272635465048,-0.5769662738063094,0.05072906962928871,2.408170891843671,2.408170891843671,2.408170891843671,6.924339213155925e-08,69.24339213155925,-0.07855805569965456,0.17560610460342188,1.3863188790867136,-0.09747262789254771,0.15518996536800653,1.2450335490629254
24,missed_detector,False,,,,10140307.182988945,4418646.443669721,6233100.558605208,6667072.1308185635,0.4357507483680869,0.6146855757054045,0.6574822646401709,0.5374744772950457,2.3638725119849733,0.5374744772950457,0.5374744772950457,6.074089472601421e-07,607.4089472601421,2.6376944418169117,3.682525252316538,4.289897469109549,0.0029699815643011427,0.02461268197468198,0.3
25,lost_in_channel,False,,,,4229205.482575451,3068141.996406249,616299.8443543051,2844794.932079182,0.7254653407234893,0.14572473408858777,0.6726546969164507,0.0934917300274447,2.618837751718944,2.618837751718944,2.618837751718944,6.447919494501765e-08,64.47919494501764,0.11021720056748087,0.15562445470979008,1.39882263095011,0.10448150358179507,0.11264177445431324,1.2496742731258397
26,lost_in_channel,False,,,,3821637.983681916,-1803975.1036880307,145105.1248696473,-3365937.492932794,-0.4720423837608005,0.037969353844931,-0.8807578078575402,0.07634044950596602,2.4620384011152208,2.4620384011152208,2.4620384011152208,6.993989047319357e-08,69.93989047319357,-0.011887963115668136,-0.1748276745708447,1.369257171854952,0.014709886818455016,-0.16603280059975178,1.2480435062424338
27,lost_in_channel,False,,,,4230766.537332724,-225948.5611313804,-1411596.616902967,-3981925.1289150435,-0.05340605754006675,-0.33365032186174576,-0.9411829023837931,0.09356076079256423,2.421041073102892,2.421041073102892,2.421041073102892,6.892166020299428e-08,68.92166020299427,-0.03728884552582175,-0.17081189626692636,1.3784248747400911,-0.0013160297156091297,-0.15333627160088945,1.2497965505530575
28,missed_detector,False,,,,21307020.634200383,835462.8513932781,-3165057.650343997,21054062.32061123,0.039210683921348334,-0.148545294280313,0.9881279359544468,2.373018238615671,2.373018238615671,2.373018238615671,2.373018238615671,2.9943418918809645e-07,299.43418918809647,0.2501661415791555,-0.9477264715501101,6.3043060819888534,0.04938520737394492,-0.18709033938739494,1.2445307795952485
29,missed_detector,False,,,,15814488.460345823,10712446.59202309,-11419813.52855323,-2220223.4681528625,0.6773817957428157,-0.722110838879673,-0.14039173468809826,1.3072718835008958,2.3053093588764066,1.3072718835008958,1.3072718835008958,4.1890911965633445e-07,418.90911965633444,4.323412134338734,-4.583810291196247,-0.5623673170652541,0.006798098512442779,0.023350421918021558,0.30000000000000004
30,missed_detector,False,,,,21705500.855650183,411965.88452453655,3297446.858088337,21449612.950417124,0.018979791678812943,0.1519175659671532,0.9882109191151677,2.46260777639113,2.46260777639113,2.46260777639113,2.46260777639113,2.883761145205656e-07,288.37611452056564,0.11880112111177507,0.9509049129141245,6.185556041525647,0.023902162717710354,0.19131708307835846,1.244501445949808
31,missed_detector,False,,,,5053425.660699353,-4801662.97301455,1185355.6465778162,1037340.6349516289,-0.9501797979056527,0.23456477371308015,0.20527473927618228,0.13348343862954043,2.4350500242955846,2.4350500242955846,0.13348343862954043,1.0129048800449088e-06,1012.9048800449089,-4.758147660063977,1.226703835107256,1.5092077337818945,-0.0020463575959466644,0.04609356445046424,0.42163641417111813
32,missed_detector,False,,,,12253568.271748397,-2648367.886508769,-11498048.656156737,-3306200.240269839,-0.2161303407934485,-0.9383428892844566,-0.2698153033425009,0.7848393562588389,2.5188460706235656,0.7848393562588389,0.7848393562588389,5.353879102841121e-07,535.3879102841121,-1.3475342184836523,-5.900856822542875,-1.1197866567838133,0.0016524497570814943,-0.05538042004156737,0.49089971390696224
33,lost_in_channel,False,,,,1712119.6189331303,-893667.5218602564,-624084.7287337173,1320314.4327277644,-0.5219655869705679,-0.36451000375931797,0.7711578198902301,0.015322295398905417,2.5422992887583593,2.5422992887583593,2.5422992887583593,6.992872170896659e-08,69.92872170896659,0.12214650431001073,0.20070404658678667,1.3951699424911945,0.13139183639827604,0.12041222495910786,1.2463883315578108
34,lost_in_channel,False,,,,3135216.4169870983,650808.7832390774,3062436.70935632,165865.3375215069,0.20758017842497012,0.9767863847495675,0.05290395158140353,0.05137959449981831,2.481024096307686,2.481024096307686,2.481024096307686,3.867287369972203e-08,38.672873699722025,-0.03938785944315303,-0.06411992608116976,0.755027371283927,-0.026700699825686205,-0.08050086255302052,0.7113944271417223
35,lost_in_channel,False,,,,743094.3261139871,489552.7287732651,-495357.3374396064,-259130.10534902065,0.658802942734581,-0.6666143449514388,-0.34871764760221213,0.002886313586999434,2.702926178925677,2.669128837710831,2.669128837710831,6.532168531310199e-08,65.32168531310198,0.05346299215367926,-0.07375787363731688,1.3882847221013142,0.009067949068997978,-0.14212856568311627,1.251461600198691
36,missed_detector,False,,,,19124489.136738367,-13233821.820337707,-13805594.6953871,-132664.5222997862,-0.6919830237407691,-0.721880443272411,-0.006936892345267204,1.9117685329410252,2.285280526940176,1.9117685329410252,1.9117685329410252,3.495760669231163e-07,349.5760669231163,-4.266460081793974,-4.519985419194902,0.4412519295023156,0.046100425029347476,-0.01440828185251917,0.43731182843811284
37,lost_in_channel,False,,,,1780130.5175328823,-492615.4157783862,-1667027.741435587,383683.75112003495,-0.2767299425106826,-0.9364637733113824,0.215536865045036,0.01656377468914071,2.268987936019959,2.268987936019959,2.268987936019959,6.766020931295047e-08,67.66020931295047,-0.028404342332617682,0.20085435686328368,1.395011940696478,-0.025368956642432678,0.17939036964982097,1.2459361679557448
