Incident energy ; 
Incident energy ; 
Incident energy ; σ(E)
8391800.0 ; 1.16113107
8400000.0 ; 1.15057732
8422400.0 ; 1.13680743
8426000.0 ; 1.13460187
8442000.0 ; 1.11263128
8448000.0 ; 1.10472427
8450000.0 ; 1.08927484
8460800.0 ; 1.08383534
8479600.0 ; 1.07567399
8480000.0 ; 1.07553136
8498400.0 ; 1.04805024
8499500.0 ; 1.04649409
8500000.0 ; 1.03826728
8517200.0 ; 1.03773493
8520000.0 ; 1.03785989
8536000.0 ; 1.02351976
8553000.0 ; 1.00947609
8554800.0 ; 1.00956236
8568900.0 ; 1.01111455
8573600.0 ; 1.01168841
8592400.0 ; 1.01502675
8600000.0 ; 1.01649048
8601800.0 ; 1.01641531
8611000.0 ; 1.01655376
8620600.0 ; 1.01421734
8630000.0 ; 1.01206963
8648800.0 ; 1.00867553
8658200.0 ; 1.00711066
8664000.0 ; 1.0063872
8677000.0 ; 1.00575422
8686400.0 ; 1.00542875
8700000.0 ; 1.0053506
8700500.0 ; 1.00489174
8705200.0 ; 1.00072551
8708000.0 ; 0.998285364
8733400.0 ; 0.989863503
8750000.0 ; 0.985335415
8761600.0 ; 0.986068194
8768000.0 ; 0.986871599
8789800.0 ; 0.985856886
8800000.0 ; 0.986074243
8808600.0 ; 0.98408898
8818000.0 ; 0.982082077
8827400.0 ; 0.980605474
8833000.0 ; 0.979833378
8846200.0 ; 0.975998968
8850000.0 ; 0.975215371
8865000.0 ; 0.978714963
8874400.0 ; 0.98114228
8885000.0 ; 0.984467908
8888500.0 ; 0.983445955
8893200.0 ; 0.982203254
8912000.0 ; 0.978210248
8920000.0 ; 0.976719734
8921400.0 ; 0.977624675
8940000.0 ; 0.990498769
8940200.0 ; 0.99061924
8988800.0 ; 1.02057219
8995600.0 ; 1.02433157
9000000.0 ; 1.02664571
9005000.0 ; 1.04357407
9012600.0 ; 1.04751857
9020000.0 ; 1.05073463
9022800.0 ; 1.05452093
9030000.0 ; 1.06401204
9036400.0 ; 1.06875164
9045000.0 ; 1.0743781
9050000.0 ; 1.08629775
9053000.0 ; 1.09338311
9060200.0 ; 1.09594686
9067000.0 ; 1.09792723
9080000.0 ; 1.11977252
9111200.0 ; 1.1477865
9124800.0 ; 1.16045993
9131600.0 ; 1.1672036
9149000.0 ; 1.18515471
9151920.0 ; 1.18938048
9163000.0 ; 1.20672093
9164300.0 ; 1.20738248
9176680.0 ; 1.21407218
9195250.0 ; 1.22065373
9213820.0 ; 1.22816518
9219000.0 ; 1.23051492
9232390.0 ; 1.23489723
9250000.0 ; 1.24158696
9254000.0 ; 1.25424528
9257150.0 ; 1.25507473
9294290.0 ; 1.26683243
9300000.0 ; 1.26861527
9325240.0 ; 1.27820338
9344430.0 ; 1.28386492
9356190.0 ; 1.28611343
9360000.0 ; 1.28641428
9368570.0 ; 1.28544873
9380950.0 ; 1.28232773
9386500.0 ; 1.28030393
9399100.0 ; 1.27418603
9400000.0 ; 1.27361259
9409000.0 ; 1.27061466
9421000.0 ; 1.26492212
9430000.0 ; 1.2595418
9450000.0 ; 1.253002
9500000.0 ; 1.23530001
